,Page Title,Car Price,Item Condition,Car Location,Image Links,Brand,Mileage,Model,Seat Capacity,Variant,Type,Series,Manufactured Year,Country of Origin,Transmission,Engine CC,Compression Ratio,Peak Power (Bhp),Peak Torque (Nm),Engine Type,Fuel Type,Length(mm),Width(mm),Height(mm),Wheel Base (mm),Kerb Weight (kg),Fuel Tank (litres),Front Brakes,Rear Brakes,Front Suspension,Rear Suspension,Steering,Front Tyres,Rear Tyres,Front Rim(inches),Rear Rim(inches),Loan Monthly Payment,Interest Rate,Features
0, 2014 Mercedes Benz CLA250 2.0 AMG PRE CRASH STOP,    RM 173 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/09/093923042528459.jpg', 'https://img.rnudah.com/thumbs/09/090923043590832.jpg', 'https://img.rnudah.com/thumbs/09/098923042580531.jpg', 'https://img.rnudah.com/thumbs/09/094923042243764.jpg', 'https://img.rnudah.com/thumbs/09/098923044860359.jpg', 'https://img.rnudah.com/thumbs/09/092923049756782.jpg', 'https://img.rnudah.com/thumbs/09/097923042373377.jpg', 'https://img.rnudah.com/thumbs/09/091923044989972.jpg', 'https://img.rnudah.com/thumbs/09/094923049083248.jpg', 'https://img.rnudah.com/thumbs/09/097923044653205.jpg', 'https://img.rnudah.com/thumbs/09/094923044627736.jpg', 'https://img.rnudah.com/thumbs/09/097923040197693.jpg']",MERCEDES BENZ   ,  0 - 4 999  ,CLA-CLASS   ,4 ,CLA250 AMG 4 MATIC (CBU) ,4D SEDAN ,C117 , 2014  ,GERMANY ,7 SP AUTOMATIC G-TRONIC,1991 ,9.8  ,115 ,350 ,MULTI POINT F/INJ ,PETROL ,1777 ,4630 ,1432 ,2669 ,1585 ,50 ,Ventilated Discs ,Discs ,CS;DGSA ,CS;GSA , -,235/35 R19 ,235/35 R19 ,8.5Jx19 ,8.5Jx19 ,RM2 334/month,3.7,-
1, 2011 Perodua ALZA 1.5 SXi (M) Pls call June (L2),    RM 26 313     ,Used,   Johor   ,"['https://img.rnudah.com/thumbs/41/415914028693754.jpg', 'https://img.rnudah.com/thumbs/41/415914022450263.jpg', 'https://img.rnudah.com/thumbs/41/410914027061991.jpg', 'https://img.rnudah.com/thumbs/41/413914027683453.jpg', 'https://img.rnudah.com/thumbs/41/419914025662851.jpg', 'https://img.rnudah.com/thumbs/41/418914029968951.jpg', 'https://img.rnudah.com/thumbs/41/416914026678822.jpg', 'https://img.rnudah.com/thumbs/41/410914023051926.jpg', 'https://img.rnudah.com/thumbs/41/412914028621883.jpg']",PERODUA   ,  90 000 - 94 999  ,ALZA   ,7 ,SXi ,4D WAGON , -, 2011  ,MALAYSIA ,5 SP MANUAL,1495 ,10  ,76 ,136 ,MULTI POINT F/INJ ,PETROL ,1695 ,4205 ,1620 ,2750 ,1130 ,42 ,DV ,DR ,McSt; ,TB; ,RACK &amp; PINION ,185/55 R15 ,185/55 R15 , -, -,RM355/month,3.7,-
2, 1995 or older Proton Saga 1.5 (M),    RM 1 900     ,Used,   Penang   ,"['https://img.rnudah.com/thumbs/25/253909056964488.jpg', 'https://img.rnudah.com/thumbs/25/256909050850610.jpg', 'https://img.rnudah.com/thumbs/25/256909057198245.jpg', 'https://img.rnudah.com/thumbs/25/258909056524711.jpg']",   Proton   ,10 000 - 14 999,   Saga   ,-,-,Sedan,-,-,-,Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM26/month,3.7,-
3, 2010 Mitsubishi Triton 2.5 (A),    RM 42 500     ,Used,   Terengganu   ,"['https://img.rnudah.com/thumbs/24/246908059134808.jpg', 'https://img.rnudah.com/thumbs/24/249908055017197.jpg', 'https://img.rnudah.com/thumbs/24/240908055224351.jpg', 'https://img.rnudah.com/thumbs/24/249908058593155.jpg', 'https://img.rnudah.com/thumbs/25/252909052330693.jpg', 'https://img.rnudah.com/thumbs/25/250909050336694.jpg']",   Mitsubishi   ,85 000 - 89 999,   Triton   ,-,-,4 Wheels,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM573/month,3.7,"ABS Brakes, Airbag Driver, DVD Player, Central Lock, Reverse Camera, Adjustable Steering, Sport Rims, Navigation System, Solar Film, Airbag Passenger"
4, 2014 Toyota Hilux 2.5 (M),    RM 55 000     ,Used,   Sabah   ,['https://img.rnudah.com/thumbs/72/728807129688110.jpg'],   Toyota   ,110 000 - 119 999,   Hilux   ,-,-,4 Wheels,-,-,-,Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM742/month,3.7,Airbag Driver
5, 2000 Proton Satria 1.6 (M),    RM 10 000     ,Used,   Johor   ,"['https://img.rnudah.com/thumbs/25/257909056450572.jpg', 'https://img.rnudah.com/thumbs/25/250909053808508.jpg', 'https://img.rnudah.com/thumbs/25/253909052254286.jpg', 'https://img.rnudah.com/thumbs/25/258909056374165.jpg', 'https://img.rnudah.com/thumbs/25/258909058653993.jpg', 'https://img.rnudah.com/thumbs/25/252909055027097.jpg']",   Proton   ,15 000 - 19 999,   Satria   ,-,-,Hatchback,-,-,-,Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM135/month,3.7,-
6, 1995 Honda NSX 3.0 (A),    RM 230 000     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/23/238907050152678.jpg', 'https://img.rnudah.com/thumbs/23/231907059714035.jpg']",   Honda   ,55 000 - 59 999,   NSX   ,-,-,Sports,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM3 103/month,3.7,"Solar Film, Alarm, Central Lock, Adjustable Steering, Reverse Camera, Electric Seat, CD Player, Leather Seats, Airbag Driver, Airbag Passenger, ABS Brakes, Sport Rims"
7, 2007/2012 Toyota Harrier 2.4 (A) ACU 30,    RM 65 500     ,Used,   Kelantan   ,"['https://img.rnudah.com/thumbs/25/250909056030594.jpg', 'https://img.rnudah.com/thumbs/25/252909059916716.jpg', 'https://img.rnudah.com/thumbs/25/259909051680360.jpg', 'https://img.rnudah.com/thumbs/25/254909055100102.jpg', 'https://img.rnudah.com/thumbs/25/254909059659758.jpg', 'https://img.rnudah.com/thumbs/25/256909058986224.jpg']",   Toyota   ,55 000 - 59 999,   Harrier   ,-,-,SUVs,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM884/month,3.7,"Solar Film, Alarm, Interior Lighting, Touch Screen, Sunglass Holder, Cooled Glove Box, Head Up Display, Voice Recognition, Central Lock, Adjustable Steering, Reverse Camera, Electric Seat, Bodykit, CD Player, Airbag Driver, Airbag Passenger, DVD Player, ABS Brakes, Sport Rims"
8, 1999 Mercedes Benz S280 2.8 (A),    RM 18 000     ,Used,   Penang   ,"['https://img.rnudah.com/thumbs/25/250909054468434.jpg', 'https://img.rnudah.com/thumbs/25/253909054314486.jpg', 'https://img.rnudah.com/thumbs/25/258909052474435.jpg', 'https://img.rnudah.com/thumbs/25/258909054754263.jpg', 'https://img.rnudah.com/thumbs/25/259909055557410.jpg', 'https://img.rnudah.com/thumbs/25/257909051775432.jpg', 'https://img.rnudah.com/thumbs/25/254909051373598.jpg', 'https://img.rnudah.com/thumbs/25/250909054508645.jpg', 'https://img.rnudah.com/thumbs/25/252909058394767.jpg', 'https://img.rnudah.com/thumbs/25/254909059509212.jpg', 'https://img.rnudah.com/thumbs/25/250909055208782.jpg', 'https://img.rnudah.com/thumbs/25/255909058628524.jpg']",   Mercedes Benz   ,170 000 - 179 999,   S280   ,-,-,Sedan,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM243/month,3.7,"Solar Film, Alarm, Central Lock, Adjustable Steering, Reverse Camera, Electric Seat, Sunroof / Moonroof, Power Door, CD Player, Power Boot, Cruise Control, Leather Seats, Airbag Driver, Airbag Passenger, ABS Brakes, Sport Rims"
9, 2012 Hyundai Sonata 2.0cc (A),    RM 40 000     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/23/239907054479129.jpg', 'https://img.rnudah.com/thumbs/23/233907057616444.jpg', 'https://img.rnudah.com/thumbs/23/238907056580674.jpg', 'https://img.rnudah.com/thumbs/23/237907056969513.jpg', 'https://img.rnudah.com/thumbs/23/235907057151198.jpg', 'https://img.rnudah.com/thumbs/23/230907050363786.jpg', 'https://img.rnudah.com/thumbs/23/237907059949478.jpg']",   ,130 000 - 139 999,   ,-,-,Sedan,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM540/month,3.7,"ABS Brakes, Adjustable Steering, Airbag Driver, Airbag Passenger, Alarm, Bodykit, CD Player, Central Lock, Climate Control, Cruise Control, DVD Player, Electric Seat, Interior Lighting, Leather Seats, Paddleshift, Power Boot, Power Door, Push Start, Solar Film, Sport Rims, Sunglass Holder, Sunroof / Moonroof"
